index,repo_name,ncloc,code_smells,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,appium/appium,5047.0,33.0,494.0,No framework identified,4508,1002,4358
2,responsively-org/responsively-app,17629.0,209.0,990.0,react,43,184,832
3,FredrikNoren/ungit,11888.0,97.0,1510.0,express,85,353,3737
4,sdelements/lets-chat,6923.0,94.0,1087.0,express,89,83,1489
5,HabitRPG/habitica,129619.0,1242.0,11410.0,vue,974,3116,11075
6,qeeqbox/social-analyzer,2351.0,69.0,1021.0,express,2,7,671
7,zhukov/webogram,26106.0,764.0,8287.0,angular,143,169,1822
8,rawgraphs/rawgraphs-app,5847.0,88.0,552.0,react,42,101,896
9,angular-app/angular-app,3798.0,120.0,208.0,angular,18,61,393
10,1j01/jspaint,37277.0,1153.0,11860.0,No framework identified,38,59,1555
11,benoitvallon/react-native-nw-react-calculator,2409.0,9.0,117.0,react,3,5,186
12,szimek/sharedrop,1754.0,19.0,92.0,ember,9,21,372
13,prose/prose,7201.0,177.0,973.0,backbone,125,197,3331
14,tutao/tutanota,204051.0,2303.0,23412.0,express,1172,1866,6417
15,oklai/koala,4460.0,62.0,1061.0,No framework identified,89,63,412
16,wei/pull,1269.0,8.0,153.0,No framework identified,9,9,354
17,async-labs/builderbook,27742.0,170.0,2259.0,react,20,26,516
18,Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client,7059.0,109.0,1387.0,No framework identified,96,33,250
19,streamlink/streamlink-twitch-gui,38667.0,306.0,2285.0,ember,111,175,2544
20,zedapp/zed,35381.0,1031.0,24738.0,express,49,65,1200
21,mephux/komanda,31391.0,1260.0,43488.0,No framework identified,47,59,399
22,konstantinmuenster/notion-clone,2767.0,14.0,251.0,react,2,3,59
23,DemocracyOS/democracyos,17547.0,201.0,2254.0,react,331,720,6368
24,fossasia/pslab-desktop,12350.0,78.0,441.0,react,146,30,721
25,auchenberg/chrome-devtools-app,122329.0,3589.0,32856.0,No framework identified,6,4,124
26,vivek9patel/vivek9patel.github.io,2630.0,18.0,240.0,react,4,20,154
27,fossasia/knitweb,4407.0,323.0,1512.0,express,1,2,152
28,Parallels/rq-dashboard,4593.0,74.0,2014.0,No framework identified,21,24,447
29,stephomi/sculptgl,21448.0,260.0,4698.0,No framework identified,19,24,668
30,snorpey/jpg-glitch,7567.0,219.0,3525.0,No framework identified,3,14,173
31,blenderskool/blaze,2284.0,42.0,217.0,preact,24,5,383
32,writethedocs/www,8774.0,269.0,28095.0,No framework identified,24,1,5798
33,strongloop/strong-pm,5660.0,138.0,490.0,express,37,84,721
34,zulip/zulip-mobile,47851.0,258.0,1770.0,react,311,812,7809
35,gbraadnl/gauth,4346.0,357.0,1682.0,express,9,6,145
36,phonegap/phonegap-app-desktop,2703.0,61.0,562.0,express,215,63,1180
37,webpack/analyse,938.0,12.0,125.0,No framework identified,3,6,33
38,HashNuke/mogo-chat,29050.0,879.0,38173.0,phoenix,1,0,455
39,lonelyplanet/rizzo,30858.0,210.0,2207.0,No framework identified,17,212,8878
40,kiprotect/klaro,4371.0,82.0,911.0,preact,32,23,747
41,realdennis/md2pdf,623.0,10.0,19.0,react,2,6,65
42,code-dot-org/code-dot-org,605585.0,8226.0,187617.0,react,3,10,130
43,Kilian/fromscratch,1343.0,2.0,125.0,react,10,61,676
44,z-------------/CPod,5645.0,187.0,1949.0,No framework identified,33,19,253
45,firefox-devtools/profiler,85641.0,562.0,5568.0,react,170,217,4028
46,30-seconds/30-seconds-web,10582.0,100.0,818.0,react,31,54,1220
47,whiteout-io/mail,31934.0,588.0,23975.0,angular,12,166,1382
48,BlocklyDuino/BlocklyDuino,36958.0,455.0,3253.0,No framework identified,4,26,133
49,WebbyLab/itsquiz-wall,4923.0,59.0,387.0,react,1,33,498
50,nitrotasks/nitro,10508.0,123.0,1507.0,react,53,61,1389
51,jeremyckahn/stylie,8343.0,233.0,18793.0,backbone,6,19,575
52,tpiros/advanced-chat,617.0,54.0,214.0,express,2,5,44
53,aholachek/bundle-wizard,1801.0,63.0,288.0,react,2,24,127
54,stayawayinesctec/stayaway-app,11233.0,103.0,383.0,react,4,10,96
55,jappix/jappix,57049.0,1242.0,42975.0,No framework identified,107,458,1067
56,pascalopitz/unoffical-sonos-controller-for-linux,8456.0,97.0,680.0,react,11,65,321
57,flackr/circ,15641.0,700.0,3856.0,No framework identified,29,40,221
58,cgrossde/Pullover,3042.0,33.0,424.0,react,29,21,153
59,mithi/hexapod,4770.0,43.0,234.0,react,15,60,413
60,teamxenox/caligator,1111.0,18.0,178.0,No framework identified,7,4,62
61,18F/checklistomania,1660.0,15.0,107.0,express,3,17,122
62,artzub/GitHubVisualizer,7523.0,145.0,1464.0,react,15,37,79
63,ttencate/jfxr,2555.0,39.0,442.0,angular,11,10,182
64,jsha/blocktogether,5779.0,344.0,1050.0,express,15,34,772
65,cleanflight/cleanflight-configurator,28780.0,739.0,9990.0,No framework identified,37,542,3576
66,larvalabs/pullup,4342.0,197.0,1029.0,express,18,66,867
67,espruino/EspruinoWebIDE,150341.0,8411.0,134549.0,No framework identified,20,139,755
68,nextcloud/text,11431.0,55.0,420.0,vue,158,73,926
69,loqui/im,46147.0,6731.0,100016.0,No framework identified,145,253,1110
70,perak/kitchen-site,2685.0,145.0,879.0,No framework identified,28,0,32
71,project-serum/spl-token-wallet,8581.0,118.0,892.0,react,7,21,250
72,NemProject/NanoWallet,25687.0,641.0,2595.0,angular,158,123,916
73,hainguyents13/mechvibes,1005.0,10.0,181.0,No framework identified,3,15,54
74,moudy/agenda-ui,538.0,4.0,37.0,ember,2,2,26
75,midudev/covid-vacuna,2405.0,29.0,124.0,react,3,34,349
76,twolfson/google-music-electron,767.0,5.0,117.0,No framework identified,8,10,182
77,pboyer/flood,16660.0,908.0,3840.0,express,1,28,262
78,saviomartin/gradientking,1912.0,23.0,183.0,react,1,3,136
79,felixmariotto/Edelweiss,38118.0,1642.0,13341.0,express,2,105,584
80,cliss/camel,643.0,16.0,154.0,express,2,15,46
