index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,storybookjs/storybook,102502.0,617.0,1109.0,5668.0,react,2013,1296,9623
2,cdr/code-server,264414.0,3620.0,5132.0,41763.0,ember,820,152,1248
3,grafana/grafana,328232.0,3047.0,5326.0,26886.0,angular,5729,2725,12382
4,vercel/hyper,8322.0,75.0,153.0,1010.0,react,460,16,144
5,facebook/docusaurus,37654.0,269.0,22.0,2232.0,react,865,462,812
6,excalidraw/excalidraw,32333.0,273.0,122.0,3218.0,react,332,323,1116
7,balena-io/etcher,10730.0,57.0,34.0,741.0,react,302,10,352
8,railsware/upterm,10309.0,118.0,71.0,794.0,react,165,64,1862
9,felixrieseberg/windows95,1175.0,9.0,9.0,83.0,react,9,3,15
10,Eugeny/terminus,17127.0,102.0,153.0,2410.0,angular,397,555,1330
11,lensapp/lens,56462.0,331.0,364.0,4120.0,react,715,170,1054
12,wulkano/Kap,8777.0,117.0,100.0,701.0,react,165,0,6
13,backstage/backstage,190831.0,1240.0,1060.0,8559.0,react,579,1495,9783
14,onivim/oni,58428.0,633.0,633.0,3711.0,No framework identified,366,294,1226
15,directus/directus,67732.0,1304.0,593.0,9475.0,vue,763,427,4012
16,signalapp/Signal-Desktop,159198.0,603.0,27.0,14957.0,react,1657,84,1679
17,pavlobu/deskreen,10631.0,152.0,23.0,379.0,react,19,12,77
18,tensorflow/playground,1853.0,42.0,17.0,345.0,No framework identified,4,5,71
19,Chocobozzz/PeerTube,130488.0,596.0,865.0,9104.0,angular,816,191,4050
20,botpress/botpress,70455.0,908.0,703.0,7363.0,react,413,2549,6637
21,benawad/dogehouse,35057.0,508.0,142.0,2512.0,react,455,796,3367
22,facebook/flipper,74339.0,1022.0,842.0,6958.0,react,278,319,1955
23,react-page/react-page,18719.0,185.0,3.0,1169.0,react,197,261,513
24,cs01/gdbgui,7326.0,373.0,413.0,994.0,react,67,2,8
25,howtographql/howtographql,8256.0,26.0,62.0,276.0,react,49,79,488
26,devhubapp/devhub,53375.0,1041.0,404.0,10760.0,react,38,90,1775
27,Raathigesh/majestic,3653.0,46.0,87.0,286.0,react,42,53,332
28,microsoft/azuredatastudio,60946.0,1024.0,5125.0,9248.0,angular,4744,1383,4794
29,uw-labs/bloomrpc,3331.0,31.0,44.0,307.0,react,26,5,60
30,sindresorhus/caprine,3361.0,67.0,19.0,445.0,No framework identified,208,6,137
31,HospitalRun/hospitalrun-frontend,27383.0,53.0,190.0,735.0,react,195,399,1589
32,nteract/nteract,38473.0,486.0,429.0,1699.0,react,228,288,2620
33,tensorflow/tensorboard,128409.0,1274.0,656.0,7069.0,angular,256,366,1765
34,este/este,5306.0,215.0,35.0,212.0,react,190,6,76
35,graphql-editor/graphql-editor,36009.0,72.0,22.0,683.0,react,45,101,317
36,taniarascia/takenote,7402.0,53.0,25.0,389.0,react,73,59,326
37,clintonwoo/hackernews-react-graphql,5746.0,22.0,12.0,227.0,react,2,6,38
38,johannesjo/super-productivity,51109.0,706.0,865.0,4150.0,angular,381,1024,4101
39,alexjlockwood/ShapeShifter,20050.0,462.0,157.0,3043.0,angular,20,478,2023
40,hygieia/hygieia,25678.0,186.0,406.0,979.0,angular,271,2,4
41,buttercup/buttercup-desktop,6165.0,49.0,18.0,440.0,react,199,15,228
42,michaelgrosner/tribeca,7056.0,98.0,66.0,901.0,angular,7,48,754
43,altair-graphql/altair,21202.0,429.0,442.0,1687.0,angular,211,58,1049
44,compodoc/compodoc,16390.0,210.0,399.0,4508.0,angular,586,770,1303
45,ionic-team/ionic-conference-app,1720.0,10.0,50.0,87.0,angular,101,85,237
46,microsoft/VoTT,27927.0,306.0,212.0,1331.0,react,68,137,459
47,danvk/source-map-explorer,2739.0,17.0,0.0,241.0,No framework identified,20,6,49
48,bitpay/wallet,64350.0,683.0,617.0,6622.0,angular,513,1509,5619
49,alm-tools/alm,29872.0,1011.0,1764.0,4308.0,react,31,193,2091
50,butlerx/wetty,1316.0,16.0,2.0,134.0,express,33,6,81
51,jlfwong/speedscope,14156.0,165.0,107.0,2197.0,preact,21,33,253
52,bitwarden/desktop,4338.0,48.0,38.0,493.0,angular,198,60,663
53,qawolf/qawolf,63896.0,304.0,58.0,3176.0,react,86,641,3540
54,wasdk/WebAssemblyStudio,18594.0,348.0,771.0,817.0,react,16,28,482
