index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc
1,appium/appium,0.006538538,0.229921983,2130098.71,0.097879929
2,responsively-org/responsively-app,0.011855465,0.221153846,2347294.975,0.056157468
3,FredrikNoren/ungit,0.008159489,0.094460797,2776888.182,0.127018843
4,sdelements/lets-chat,0.013577929,0.055742109,1887674.798,0.157012856
5,HabitRPG/habitica,0.009581929,0.281354402,2644232.034,0.088027218
6,qeeqbox/social-analyzer,0.029349213,0.010432191,inf,0.434283284
7,zhukov/webogram,0.029265303,0.092755214,2349989.008,0.317436605
8,rawgraphs/rawgraphs-app,0.015050453,0.112723214,3235140.676,0.094407388
9,angular-app/angular-app,0.031595577,0.155216285,2303343.333,0.054765666
10,1j01/jspaint,0.030930601,0.037942122,5094668.567,0.31815865
11,benoitvallon/react-native-nw-react-calculator,0.00373599,0.02688172,inf,0.04856787
12,szimek/sharedrop,0.010832383,0.056451613,4967329.5,0.052451539
13,prose/prose,0.024579919,0.059141399,2615136.45,0.135120122
14,tutao/tutanota,0.011286394,0.290790089,2752473.631,0.114736022
15,oklai/koala,0.013901345,0.152912621,2110960.949,0.237892377
16,wei/pull,0.006304177,0.025423729,1631852.444,0.120567376
17,async-labs/builderbook,0.006127893,0.050387597,810039.35,0.08142888
18,Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client,0.015441281,0.132,714607.0842,0.196486754
19,streamlink/streamlink-twitch-gui,0.007913725,0.068789308,1572441.409,0.059094318
20,zedapp/zed,0.029139934,0.054166667,1798703.563,0.69918883
21,mephux/komanda,0.040138893,0.147869674,356446.8085,1.385365232
22,konstantinmuenster/notion-clone,0.005059631,0.050847458,inf,0.090711962
23,DemocracyOS/democracyos,0.01145495,0.113065327,2111223.673,0.128455007
24,fossasia/pslab-desktop,0.006315789,0.041608877,1104058.021,0.035708502
25,auchenberg/chrome-devtools-app,0.029338914,0.032258065,2171669.5,0.268587171
26,vivek9patel/vivek9patel.github.io,0.006844106,0.12987013,inf,0.091254753
27,fossasia/knitweb,0.073292489,0.013157895,inf,0.343090538
28,Parallels/rq-dashboard,0.016111474,0.053691275,5632927.944,0.438493359
29,stephomi/sculptgl,0.012122342,0.035928144,752441.2632,0.219041402
30,snorpey/jpg-glitch,0.028941456,0.080924855,inf,0.465838509
31,blenderskool/blaze,0.018388792,0.01305483,6449266.917,0.095008757
32,writethedocs/www,0.030658765,0.000172473,4888073.667,3.20207431
