index,repo_name,ncloc,code_smells,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,appium/appium,5047,33,494,No framework identified,4508,1002,4358
2,responsively-org/responsively-app,17629,209,990,react,43,184,832
3,FredrikNoren/ungit,11888,97,1510,express,85,353,3737
4,sdelements/lets-chat,6923,94,1087,express,89,83,1489
5,HabitRPG/habitica,129619,1242,11410,vue,974,3116,11075
6,qeeqbox/social-analyzer,2351,69,1021,express,2,7,671
7,zhukov/webogram,26106,764,8287,angular,143,169,1822
8,rawgraphs/rawgraphs-app,5847,88,552,react,42,101,896
9,angular-app/angular-app,3798,120,208,angular,18,61,393
10,1j01/jspaint,37277,1153,11860,No framework identified,38,59,1555
11,benoitvallon/react-native-nw-react-calculator,2409,9,117,react,3,5,186
12,szimek/sharedrop,1754,19,92,ember,9,21,372
13,prose/prose,7201,177,973,backbone,125,197,3331
14,tutao/tutanota,204051,2303,23412,express,1172,1866,6417
15,oklai/koala,4460,62,1061,No framework identified,89,63,412
16,wei/pull,1269,8,153,No framework identified,9,9,354
17,async-labs/builderbook,27742,170,2259,react,20,26,516
18,Melvin-Abraham/Google-Assistant-Unofficial-Desktop-Client,7059,109,1387,No framework identified,96,33,250
19,streamlink/streamlink-twitch-gui,38667,306,2285,ember,111,175,2544
20,zedapp/zed,35381,1031,24738,express,49,65,1200
21,mephux/komanda,31391,1260,43488,No framework identified,47,59,399
22,konstantinmuenster/notion-clone,2767,14,251,react,2,3,59
23,DemocracyOS/democracyos,17547,201,2254,react,331,720,6368
24,fossasia/pslab-desktop,12350,78,441,react,146,30,721
25,auchenberg/chrome-devtools-app,122329,3589,32856,No framework identified,6,4,124
26,vivek9patel/vivek9patel.github.io,2630,18,240,react,4,20,154
27,fossasia/knitweb,4407,323,1512,express,1,2,152
28,Parallels/rq-dashboard,4593,74,2014,No framework identified,21,24,447
29,stephomi/sculptgl,21448,260,4698,No framework identified,19,24,668
30,snorpey/jpg-glitch,7567,219,3525,No framework identified,3,14,173
31,blenderskool/blaze,2284,42,217,preact,24,5,383
32,writethedocs/www,8774,269,28095,No framework identified,24,1,5798
33,strongloop/strong-pm,5660,138,490,express,37,84,721
34,zulip/zulip-mobile,47851,258,1770,react,311,812,7809
35,gbraadnl/gauth,4346,357,1682,express,9,6,145
36,phonegap/phonegap-app-desktop,2703,61,562,express,215,63,1180
37,webpack/analyse,938,12,125,No framework identified,3,6,33
38,HashNuke/mogo-chat,29050,879,38173,phoenix,1,0,455
39,lonelyplanet/rizzo,30858,210,2207,No framework identified,17,212,8878
