index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,storybookjs/storybook,102502,617,1109,5668,react,2013,1296,9623
2,cdr/code-server,264414,3620,5132,41763,ember,820,152,1248
3,grafana/grafana,328232,3047,5326,26886,angular,5729,2725,12382
4,vercel/hyper,8322,75,153,1010,react,460,16,144
5,facebook/docusaurus,37654,269,22,2232,react,865,462,812
6,excalidraw/excalidraw,32333,273,122,3218,react,332,323,1116
7,balena-io/etcher,10730,57,34,741,react,302,10,352
8,railsware/upterm,10309,118,71,794,react,165,64,1862
9,felixrieseberg/windows95,1175,9,9,83,react,9,3,15
10,Eugeny/terminus,17127,102,153,2410,angular,397,555,1330
11,lensapp/lens,56462,331,364,4120,react,715,170,1054
12,wulkano/Kap,8777,117,100,701,react,165,0,6
13,backstage/backstage,190831,1240,1060,8559,react,579,1495,9783
14,onivim/oni,58428,633,633,3711,No framework identified,366,294,1226
15,directus/directus,67732,1304,593,9475,vue,763,427,4012
16,signalapp/Signal-Desktop,159198,603,27,14957,react,1657,84,1679
17,pavlobu/deskreen,10631,152,23,379,react,19,12,77
18,tensorflow/playground,1853,42,17,345,No framework identified,4,5,71
19,Chocobozzz/PeerTube,130488,596,865,9104,angular,816,191,4050
20,botpress/botpress,70455,908,703,7363,react,413,2549,6637
21,benawad/dogehouse,35057,508,142,2512,react,455,796,3367
22,facebook/flipper,74339,1022,842,6958,react,278,319,1955
23,react-page/react-page,18719,185,3,1169,react,197,261,513
24,cs01/gdbgui,7326,373,413,994,react,67,2,8
25,howtographql/howtographql,8256,26,62,276,react,49,79,488
26,devhubapp/devhub,53375,1041,404,10760,react,38,90,1775
27,Raathigesh/majestic,3653,46,87,286,react,42,53,332
28,microsoft/azuredatastudio,60946,1024,5125,9248,angular,4744,1383,4794
29,uw-labs/bloomrpc,3331,31,44,307,react,26,5,60
30,sindresorhus/caprine,3361,67,19,445,No framework identified,208,6,137
31,HospitalRun/hospitalrun-frontend,27383,53,190,735,react,195,399,1589
32,nteract/nteract,38473,486,429,1699,react,228,288,2620
33,tensorflow/tensorboard,128409,1274,656,7069,angular,256,366,1765
34,este/este,5306,215,35,212,react,190,6,76
35,graphql-editor/graphql-editor,36009,72,22,683,react,45,101,317
36,taniarascia/takenote,7402,53,25,389,react,73,59,326
37,clintonwoo/hackernews-react-graphql,5746,22,12,227,react,2,6,38
38,johannesjo/super-productivity,51109,706,865,4150,angular,381,1024,4101
39,alexjlockwood/ShapeShifter,20050,462,157,3043,angular,20,478,2023
40,hygieia/hygieia,25678,186,406,979,angular,271,2,4
41,buttercup/buttercup-desktop,6165,49,18,440,react,199,15,228
42,michaelgrosner/tribeca,7056,98,66,901,angular,7,48,754
43,altair-graphql/altair,21202,429,442,1687,angular,211,58,1049
44,compodoc/compodoc,16390,210,399,4508,angular,586,770,1303
45,ionic-team/ionic-conference-app,1720,10,50,87,angular,101,85,237
46,microsoft/VoTT,27927,306,212,1331,react,68,137,459
47,danvk/source-map-explorer,2739,17,0,241,No framework identified,20,6,49
48,bitpay/wallet,64350,683,617,6622,angular,513,1509,5619
49,alm-tools/alm,29872,1011,1764,4308,react,31,193,2091
50,butlerx/wetty,1316,16,2,134,express,33,6,81
51,jlfwong/speedscope,14156,165,107,2197,preact,21,33,253
52,bitwarden/desktop,4338,48,38,493,angular,198,60,663
53,qawolf/qawolf,63896,304,58,3176,react,86,641,3540
54,wasdk/WebAssemblyStudio,18594,348,771,817,react,16,28,482
55,concrete-utopia/utopia,240908,2225,911,15239,react,134,564,927
56,JordanKnott/taskcafe,24184,352,122,1384,react,25,55,137
57,BoostIO/BoostNote.next,92698,762,312,6354,react,92,319,3045
58,vuesion/vuesion,11964,31,173,278,vue,59,113,520
59,ritz078/transform,5461,73,38,157,react,15,41,72
60,wexond/browser-base,18251,353,172,1893,react,87,866,2665
61,premieroctet/openchakra,10764,37,49,382,react,5,17,157
62,garden-io/garden,99349,870,404,6404,react,333,1123,2289
63,rolling-scopes/rsschool-app,34860,368,504,2447,react,115,684,1337
64,jakubroztocil/rrule,8460,60,18,977,No framework identified,54,53,252
65,ijjk/notion-blog,1748,22,25,249,react,4,3,67
66,hedgedoc/hedgedoc,11167,121,0,697,No framework identified,127,85,750
67,getmeli/meli,27399,177,250,964,react,12,69,144
68,Uniswap/uniswap-interface,33743,573,77,4511,react,343,387,911
69,Flaque/quirk,12649,61,43,437,react,24,52,262
70,bitwarden/web,15427,113,282,1944,angular,124,67,740
71,dendronhq/dendron,74821,1391,445,4495,react,228,663,2466
72,SkalskiP/make-sense,10864,114,97,894,react,15,43,290
73,sedwards2009/extraterm,50337,720,385,6506,vue,114,224,2758
74,samuelmaddock/metastream,16625,284,233,1972,react,33,114,1387
75,kubernetes-sigs/kui,65637,1245,97,12664,react,975,1750,2571
76,erxes/erxes,216219,700,1550,12727,react,307,839,4263
77,freeCodeCamp/chapter,7741,73,64,377,react,22,58,133
78,lewish/asciiflow,3934,80,38,717,react,29,1,7
79,fossasia/loklak_search,10760,157,98,614,angular,220,27,364
80,diego3g/rocketredis,2717,28,0,91,react,3,12,61
81,yang991178/fluent-reader,8890,135,20,1503,react,32,20,180
82,thecodingmachine/workadventure,19218,528,0,2448,No framework identified,76,216,2003
83,itchio/itch,32254,309,668,2570,react,454,160,1974
84,AdaptiveConsulting/ReactiveTraderCloud,44312,371,277,2161,react,77,812,3438
85,trungk18/jira-clone-angular,3359,26,30,52,angular,3,13,173
86,home-assistant/frontend,156766,3843,538,14161,vue,1895,290,3859
87,ever-co/ever-traduora,14650,192,78,605,angular,24,39,239
88,Yqnn/svg-path-editor,1451,12,6,227,angular,3,5,34
89,superpowers/superpowers-core,6119,200,350,2135,express,28,47,680
90,kactus-io/kactus,81876,446,138,7833,react,41,916,22654
91,colmena/colmena,12467,345,1325,455,angular,28,24,227
92,mattermost/desktop,9271,97,12,1217,react,227,6,26
93,DestinyItemManager/DIM,59016,782,100,7547,react,843,648,8292
94,cloudhut/kowl,19095,505,174,2239,react,30,181,985
95,djyde/cusdis,4012,94,2,171,react,5,28,171
96,Figma-Linux/figma-linux,6910,77,94,841,react,74,50,234
97,Physiix/topsi-project-manager,3500,97,87,202,vue,4,10,173
98,thomasnordquist/MQTT-Explorer,11688,108,301,847,react,21,14,553
99,benawad/fullstack-graphql-airbnb-clone,4059,41,70,145,react,1,5,86
100,housseindjirdeh/angular2-hn,647,16,3,18,angular,4,11,61
101,FiretableProject/firetable,25441,496,372,1993,react,34,345,1790
102,sorry-cypress/sorry-cypress,11377,32,101,520,react,35,47,269
103,primer/components,16220,120,0,1146,react,76,136,1252
104,standardnotes/desktop,4899,42,61,488,No framework identified,49,67,166
105,jasperapp/jasper,15543,233,41,2024,react,18,294,879
106,ParabolInc/parabol,164310,1147,2657,9456,react,1229,1170,5192
107,react-native-elements/react-native-elements-app,5676,25,1,82,react,25,19,53
108,stuffmatic/fSpy,7785,49,35,626,react,1,54,379
109,deckgo/deckdeckgo,44636,469,228,6341,react,93,656,3892
110,RocketChat/Rocket.Chat.Electron,15030,163,13,936,react,330,48,81
111,veloce/lichobile,36013,391,191,6022,No framework identified,433,174,2271
112,prymitive/karma,28465,253,92,1026,No framework identified,44,118,189
113,GoogleChromeLabs/proxx,5663,87,17,568,preact,26,27,376
114,emqx/MQTTX,7993,131,37,902,vue,26,195,562
115,martpie/museeks,5773,90,25,458,react,93,12,244
116,ever-co/ever-demand,97015,910,775,3884,angular,98,257,647
117,crowi/crowi,21173,435,921,2099,react,18,85,513
118,brimdata/brim,40552,329,283,2465,react,146,48,211
119,huggingface/Mongoku,2099,33,52,361,angular,1,10,75
120,microsoft/TypeScript-Website,19122,335,235,2026,react,129,275,2225
121,padloc/padloc,27368,621,173,2739,No framework identified,49,43,847
122,kubenav/kubenav,21921,371,0,3823,No framework identified,56,67,510
123,wireapp/wire-webapp,65599,499,248,6201,react,148,654,1551
124,mitre-attack/attack-navigator,4469,158,86,1292,angular,48,98,495
125,wireapp/wire-desktop,6017,35,17,705,react,208,206,450
126,vega/lyra,13477,333,138,1940,No framework identified,89,79,542
127,MyCryptoHQ/MyCrypto,74710,779,365,2955,react,114,588,3898
128,QingWei-Li/notea,6397,89,20,451,react,10,103,218
129,sagemathinc/cocalc,190429,2606,2484,27242,react,1252,1491,7819
130,opstrace/opstrace,124473,1343,138,8559,react,77,363,1646
131,vladimiry/ElectronMail,22812,398,0,2258,angular,59,74,958
132,SnosMe/awakened-poe-trade,10108,147,19,1770,vue,62,128,546
133,pinterest/querybook,48941,355,459,4111,react,20,65,294
134,naveedgol/music-web-player,1664,22,45,137,angular,6,10,80
135,Snowtrack/SnowFS,7890,114,58,1466,No framework identified,30,45,137
136,PuruVJ/macos-web,741,1,2,15,No framework identified,0,0,14
137,roldanjr/pomatez,12249,90,22,795,react,14,26,136
138,cds-snc/covid-alert-app,18115,143,151,951,react,98,275,2083
139,Tzahi12345/YoutubeDL-Material,7341,145,60,905,angular,76,76,336
140,ProbableTrain/MapGenerator,3650,99,39,604,No framework identified,2,1,85
141,Xmader/musescore-downloader,1727,20,19,233,No framework identified,17,120,301
142,antfu/icones,1181,17,12,128,vue,3,30,98
143,samuelmeuli/mini-diary,6183,40,3,214,react,17,7,129
144,Heroic-Games-Launcher/HeroicGamesLauncher,8485,142,0,896,react,119,110,301
145,felixmosh/bull-board,2920,38,43,161,react,19,37,145
146,DimensionDev/Maskbook,91682,1174,264,8505,react,639,1666,4035
147,threema-ch/threema-web,17740,169,161,2257,angular,269,58,775
148,online-go/online-go.com,57420,1259,565,8742,react,299,329,2487
149,sct/overseerr,40216,396,5,4256,react,158,432,734
150,eugeneration/HappyIslandDesigner,7751,103,13,915,react,1,18,91
151,opensheetmusicdisplay/opensheetmusicdisplay,28618,694,151,8158,No framework identified,128,478,1320
152,FarmBot/Farmbot-Web-App,110240,288,0,4576,react,56,655,5005
153,xlayers/xlayers,13633,98,182,561,angular,40,158,358
154,denoland/deno_website2,8212,138,19,954,preact,27,91,368
155,rhysd/Shiba,3421,13,53,274,No framework identified,15,55,228
