index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc,any-type-count_ncloc
1,lensterxyz/lenster,0.0051882597094574,0.2133333333333333,1944384.335149864,0.0630744144678328,210.0,2553.0,40476.0,0.1907797213163356
2,immich-app/immich,0.0119983691537072,0.5555555555555556,1537138.3043478262,0.0615935698060457,412.0,2115.0,34338.0,0.0
3,Bin-Huang/chatbox,0.0056697377746279,0.18,2166705.667883212,0.0733522324592487,16.0,207.0,2822.0,0.0038979447200566
4,FlowiseAI/Flowise,0.0132978723404255,0.25,450963.0240963855,0.1075422804146208,195.0,1577.0,14664.0,0.0125477359519912
5,ixahmedxi/noodle,0.0060266896254842,0.3125,372585.6666666667,0.0189410245372363,14.0,44.0,2323.0,0.0
6,apitable/apitable,,0.6341463414634146,828606.314917127,,,,,
7,teaxyz/cli,0.0305343511450381,0.1688311688311688,1493786.2896551725,0.2671755725190839,20.0,175.0,655.0,0.0061068702290076
8,yaklang/yakit,0.0230923694779116,0.1444444444444444,1333295.65625,0.073293172690763,69.0,219.0,2988.0,0.4427710843373494
9,e2b-dev/e2b,0.0067269287365986,0.0394736842105263,304246.53846153844,0.0496110994324153,64.0,472.0,9514.0,0.008618877443767
10,lenstube-xyz/lenstube,0.0077054794520547,0.5,1885256.9069767443,0.0286407371167645,378.0,1405.0,49056.0,0.0451932485322896
11,futantan/OpenGpt,0.0111409911640414,0.175,inf,0.0560891279293123,29.0,146.0,2603.0,0.0042258932001536
12,bluesky-social/social-app,0.0373370378285958,0.3614457831325301,1241904.5279187816,0.0796537721735413,1747.0,3727.0,46790.0,0.0032271852960034
13,Lissy93/web-check,0.0110410094637223,0.1166666666666666,inf,0.0630914826498422,14.0,80.0,1268.0,0.0859621451104101
14,liou666/polyglot,0.0112098956320061,0.25,227607.2857142857,0.0572091225357557,29.0,148.0,2587.0,0.0046385775028991
15,Mayandev/notion-avatar,0.0078014184397163,0.396551724137931,inf,0.025531914893617,11.0,36.0,1410.0,0.0035460992907801
16,gmpetrov/databerry,0.03125,0.3370786516853932,inf,0.035,100.0,112.0,3200.0,0.089375
17,rainbow-me/rainbowkit,0.0021030494216614,0.7796610169491526,2322694.863829788,0.0446898002103049,4.0,85.0,1902.0,0.0131440588853838
18,cfortuner/promptable,0.0514320290439693,0.1538461538461538,inf,0.0532472771278741,255.0,264.0,4958.0,0.0244050020169423
19,ballerine-io/ballerine,0.0051495589612181,0.4722222222222222,4503886.15,0.0333858966145961,209.0,1355.0,40586.0,0.0
20,OneKeyHQ/app-monorepo,,0.8085106382978723,953704.4761904762,,0.0,,,
21,analogjs/analog,0.0061871616395978,0.4901960784313725,2369865.0,0.0521489338194674,56.0,472.0,9051.0,0.0080654071373328
22,running-elephant/datart,,0.6290322580645161,1617965.2943548388,,0.0,,,
23,Mirrorful/mirrorful,0.0048972699127497,0.3529411764705882,444048.1538461539,0.0401350971010413,87.0,713.0,17765.0,0.0
24,lcomplete/huntly,,0.2777777777777778,310536.5,,,,,
25,expo/router,0.0114390767030946,0.5490196078431373,1770880.147887324,0.0872229598610969,224.0,1708.0,19582.0,0.0093963844346849
26,silverbulletmd/silverbullet,0.0177521819153357,0.1212121212121212,1621840.3717948718,0.1378614261117378,299.0,2322.0,16843.0,0.0172178353024995
27,Privoce/vocechat-web,,0.2352941176470588,920346.6428571428,,,,,
28,chronark/highstorm,0.0247603833865814,0.28,inf,0.0389091738931994,217.0,341.0,8764.0,0.0007987220447284
29,figment-networks/learn-web3-dapp,0.0204069733543233,0.3636363636363636,724062.2307692308,0.0690338755757681,350.0,1184.0,17151.0,0.0030318931840708
30,cybersecsi/houdini,0.0076206604572396,0.3421052631578947,inf,0.0592718035563082,9.0,70.0,1181.0,0.0
31,kubero-dev/kubero,0.0153026634382566,0.2307692307692307,547365.6818181818,0.0586924939467312,158.0,606.0,10325.0,0.0099757869249394
32,opengs/uashield,0.0056680161943319,0.2727272727272727,780405.3157894737,0.0550607287449392,21.0,204.0,3705.0,0.0
33,Shelf-nu/shelf.nu,0.0036774909797391,0.1780821917808219,787793.8421052631,0.0462114904246461,53.0,666.0,14412.0,0.0004163197335553
34,jeremyckahn/chitchatter,0.0013612387272417,0.3376623376623376,2415254.8,0.0660200782712268,8.0,388.0,5877.0,0.001531393568147
