index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count,avg_bug-issue_time
1,lensterxyz/lenster,40476.0,210.0,7722.0,2553.0,react,376.0,16.0,75.0,1944384.335149864
2,immich-app/immich,34338.0,412.0,0.0,2115.0,react,616.0,25.0,45.0,1537138.3043478262
3,Bin-Huang/chatbox,2822.0,16.0,11.0,207.0,react,280.0,9.0,50.0,2166705.667883212
4,FlowiseAI/Flowise,14664.0,195.0,184.0,1577.0,react,85.0,17.0,68.0,450963.0240963855
5,ixahmedxi/noodle,2323.0,14.0,0.0,44.0,react,13.0,15.0,48.0,372585.6666666667
6,apitable/apitable,,,3142.0,,react,182.0,26.0,41.0,828606.314917127
7,teaxyz/cli,655.0,20.0,4.0,175.0,No framework identified,146.0,13.0,77.0,1493786.2896551725
8,yaklang/yakit,2988.0,69.0,1323.0,219.0,react,64.0,13.0,90.0,1333295.65625
9,e2b-dev/e2b,9514.0,64.0,82.0,472.0,react,13.0,3.0,76.0,304246.53846153844
10,lenstube-xyz/lenstube,49056.0,378.0,2217.0,1405.0,react,45.0,30.0,60.0,1885256.9069767443
11,futantan/OpenGpt,2603.0,29.0,11.0,146.0,react,6.0,14.0,80.0,inf
12,bluesky-social/social-app,46790.0,1747.0,151.0,3727.0,react,198.0,30.0,83.0,1241904.5279187816
13,Lissy93/web-check,1268.0,14.0,109.0,80.0,react,3.0,7.0,60.0,inf
14,liou666/polyglot,2587.0,29.0,12.0,148.0,,14.0,14.0,56.0,227607.2857142857
15,Mayandev/notion-avatar,1410.0,11.0,5.0,36.0,react,2.0,23.0,58.0,inf
16,gmpetrov/databerry,3200.0,100.0,286.0,112.0,react,4.0,30.0,89.0,inf
17,rainbow-me/rainbowkit,1902.0,4.0,25.0,85.0,react,236.0,46.0,59.0,2322694.863829788
18,cfortuner/promptable,4958.0,255.0,121.0,264.0,react,2.0,8.0,52.0,inf
19,ballerine-io/ballerine,40586.0,209.0,0.0,1355.0,react,20.0,34.0,72.0,4503886.15
20,OneKeyHQ/app-monorepo,,0.0,1347.0,,,42.0,76.0,94.0,953704.4761904762
21,analogjs/analog,9051.0,56.0,73.0,472.0,,81.0,25.0,51.0,2369865.0
22,running-elephant/datart,,0.0,948.0,,react,250.0,39.0,62.0,1617965.2943548388
23,Mirrorful/mirrorful,17765.0,87.0,0.0,713.0,react,39.0,24.0,68.0,444048.1538461539
