index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc
1,actualbudget/actual,,,,,1248.0,7859.0,44639.0
2,Reamd7/notion-zh_CN,,,,,30.0,129.0,10570.0
3,pot-app/pot-desktop,,,,,237.0,1879.0,8822.0
4,nolanlawson/fuite,,,,,906.0,1329.0,6015.0
5,dragonir/3d,,,,,2287.0,3996.0,25998.0
6,kkoomen/pointless,,,,,17.0,362.0,3175.0
7,chetannada/Namaste-React,,,,,60.0,115.0,6541.0
8,VideoTogether/VideoTogether,,,,,1553.0,25732.0,74236.0
9,adrianhajdin/project_music_player,,,,,3.0,64.0,1100.0
10,lyfe00011/whatsapp-bot-md,,,,,60.0,825.0,4343.0
11,duiqt/herta_kuru,,,,,24.0,75.0,647.0
12,avinash201199/Competitions-and-Programs-List,,,,,4.0,15.0,1223.0
13,illustrated-machine-learning/illustrated-machine-learning.github.io,,,,,5.0,29.0,1399.0
14,keldenl/gpt-llama.cpp,,,,,79.0,305.0,1908.0
15,EyuCoder/chatgpt-clone,,,,,4.0,42.0,620.0
16,gamer-ai/eletypes-frontend,,,,,43.0,320.0,3908.0
17,cocktailpeanut/breadboard,,,,,8.0,38.0,171.0
18,revenz/Fenrus,,,,,1246.0,9389.0,34518.0
19,mafiosnik777/enhancr,,,,,1092.0,2181.0,8384.0
20,jvdutrag/open-source-rpg,,,,,11.0,148.0,3166.0
21,idurar/starter-antd-admin-crud-auth-mern,,,,,83.0,292.0,5374.0
22,titaniumnetwork-dev/Ultraviolet,,,,,47.0,965.0,5606.0
23,benbrown/shuttlecraft,,,,,53.0,588.0,2942.0
24,lucahammer/fedifinder,,,,,95.0,483.0,1999.0
25,badlogic/heissepreise,,,,,183.0,1663.0,6546.0
26,iprodanovbg/homeassistant-desktop,,,,,6.0,158.0,681.0
27,dynamicweb/swiffy-slider,,,,,10.0,89.0,324.0
28,tenpages/us-level,,,,,7.0,74.0,1733.0
29,OpenAsar/arrpc,,,,,24.0,193.0,674.0
30,wenhaomin/ChatGPT-PromptGenius,,,,,1474.0,32735.0,22113.0
31,easonwong-de/Adaptive-Tab-Bar-Colour,,,,,84.0,451.0,1633.0
32,chartello/chartello,,,,,0.0,18.0,932.0
33,arduino/lab-micropython-editor,,,,,433.0,1599.0,4599.0
34,rstudio/shinyuieditor,,,,,2.0,5.0,108.0
35,dataplane-app/dataplane,,,,,220.0,2664.0,29038.0
36,ericdiviney/react-handbook,,,,,9.0,124.0,4585.0
37,artgenexyz/webflow-nft-components,,,,,24.0,218.0,1567.0
38,Tairraos/TikDown,,,,,11.0,78.0,832.0
39,Clueless-Community/first-contribution,,,,,7.0,20.0,4949.0
40,zach-hopkins/create-t3svelte-app,,,,,17.0,79.0,469.0
41,OSSPhilippines/philippines-travel-level-map,,,,,8.0,16.0,1498.0
42,LunarVim/lunarvim.org,,,,,13.0,54.0,1386.0
43,foyzulkarim/mern-video-streaming,,,,,40.0,224.0,5966.0
44,Shopify/shopify-app-examples,,,,,12.0,103.0,1578.0
45,amupedia2021/Project-Amupedia,,,,,73.0,166.0,6494.0
46,socketsupply/create-socket-app,,,,,6.0,89.0,660.0
47,bytemakers/Noteslify,,,,,155.0,246.0,5095.0
48,R2Northstar/NorthstarMasterServer,,,,,46.0,384.0,1971.0
49,tdjsnelling/sqtracker,,,,,120.0,1144.0,11564.0
50,fjwillemsen/NativeOverleaf,,,,,85.0,459.0,1699.0
51,immortalwrt/homeproxy,,,,,200.0,640.0,2775.0
52,joshcawthorne/LunaDesk,,,,,157.0,198.0,5842.0
53,MonalikaPatnaik/UMatter,,,,,111.0,127.0,5167.0
54,ckalgos/fut-trade-enhancer,,,,,40.0,785.0,6868.0
55,Project-And-Factory/BlurLyric,,,,,253.0,1323.0,12292.0
56,acikyazilimagi/deprem-io-backend,,,,,31.0,204.0,1536.0
57,alphabit-technology/erpnext-restaurant,,,,,59.0,963.0,5481.0
58,Kanika637/amazon-clone,,,,,47.0,46.0,2064.0
59,Meta3D-Technology/Meta3D,,,,,9177.0,11075.0,67065.0
60,Akshima-Ghai/OneEducationalWebsiteForAll,,,,,29.0,196.0,4347.0
61,Daksh777/TakeABreak,,,,,155.0,315.0,1013.0
62,harshmangalam/hydrogen-solidjs-client,,,,,62.0,122.0,8308.0
63,small-tech/nodekit,,,,,154.0,391.0,3384.0
64,neesjanvaneck/VOSviewer-Online,,,,,52.0,1690.0,11363.0
65,GregVido/mica-electron,,,,,1.0,56.0,401.0
66,Stoccoin-Official/Stoccoin-Website,,,,,10.0,62.0,2260.0
67,dappnetbby/dappnet,,,,,268.0,376.0,3063.0
68,UBA-GCOEN/StichHub,,,,,556.0,665.0,19159.0
69,davunt/app-eraser,,,,,11.0,43.0,716.0
70,sudojia/scripts,,,,,1.0,98.0,365.0
71,shi-yan/Epiphany,,,,,198.0,1081.0,4651.0
72,OrbisWeb3/orbis-sdk,,,,,89.0,402.0,2238.0
73,StreamAble-Team/StreamAble-app,,,,,296.0,376.0,12358.0
74,rohansx/informatician,,,,,54.0,152.0,5801.0
75,quiqr/quiqr-desktop,,,,,376.0,2326.0,19886.0
76,TeamAOF/All-of-Fabric-6,,,,,2.0,20.0,7626.0
77,llopisdon/skies-adsb,,,,,9.0,189.0,1332.0
78,lmachens/skeleton,,,,,4.0,143.0,974.0
79,gabrysia694/Gym-Junkies,,,,,6.0,27.0,1026.0
80,usmansbk/pomofocus,,,,,0.0,44.0,1152.0
81,ZigZagExchange/frontend,,,,,218.0,2302.0,21625.0
82,Persian-Caesar/Ticker-Boy,,,,,118.0,698.0,2465.0
83,jessejanderson/skylink,,,,,2.0,69.0,182.0
84,CTF-Cafe/CTF_Cafe_platform,,,,,255.0,1737.0,12275.0
85,GamerKingFaiz/shouldiplay,,,,,3.0,40.0,736.0
86,ianb/llm-garden,,,,,177.0,2400.0,16341.0
87,leomcelroy/svg-pcb,,,,,2282.0,9228.0,31018.0
88,seths10/Quotes-Generator,,,,,3.0,4.0,6921.0
89,cyboholics/portfolioshop,,,,,54.0,118.0,4374.0
90,whitespider-dev/whitespider,,,,,6702.0,22715.0,100842.0
91,leolee9086/cc-image-tag-new,,,,,4133.0,60205.0,73445.0
92,NovaAppsInc/fracital-proxy,,,,,8935.0,42512.0,60164.0
93,spandan114/Crowdfunding-DAPP,,,,,51.0,69.0,1314.0
94,terwer/siyuan-plugin-publisher,,,,,26.0,711.0,10344.0
95,zoom/zoomapps-sample-js,,,,,0.0,50.0,526.0
96,GrabBits/GrabBits_Website,,,,,63.0,194.0,4819.0
97,shohan-pherones/euphoria-ecommerce,,,,,5.0,64.0,2231.0
98,developerforce/salesforce-slack-starter-kit,,,,,3.0,73.0,1199.0
