index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,any-type-count_ncloc
1,storybookjs/storybook,0.006019395,0.134677336,4249880.353,0.055296482,0.010819301
2,cdr/code-server,0.013690652,0.121794872,4609994.017,0.157945495,0.019408957
3,grafana/grafana,0.009283068,0.220077532,2140516.438,0.081911575,0.016226328
4,vercel/hyper,0.009012257,0.111111111,6987155.297,0.121365056,0.018385004
5,facebook/docusaurus,0.007143995,0.568965517,2305429.854,0.059276571,0.000584267
6,excalidraw/excalidraw,0.008443386,0.289426523,1604941.912,0.099526799,0.003773235
7,balena-io/etcher,0.005312209,0.028409091,3650506.686,0.069058714,0.003168686
8,railsware/upterm,0.011446309,0.034371643,1983670,0.07702008,0.006887186
9,felixrieseberg/windows95,0.007659574,inf,3752288.875,0.070638298,0.007659574
10,Eugeny/terminus,0.005955509,0.417293233,5172335.484,0.140713493,0.008933263
11,lensapp/lens,0.00586235,0.161290323,3084135.125,0.072969431,0.006446814
12,wulkano/Kap,0.013330295,inf,2978266.878,0.079867836,0.011393415
13,backstage/backstage,0.006497896,0.15281611,2118257.205,0.044851203,0.005554653
14,onivim/oni,0.010833847,0.239804241,3734346.233,0.063514069,0.010833847
15,directus/directus,0.019252347,0.106430708,1543688.482,0.139889565,0.008755094
16,signalapp/Signal-Desktop,0.003787736,0.05002978,2749728.395,0.093952185,0.0001696
17,pavlobu/deskreen,0.014297808,0.155844156,250012.2778,0.035650456,0.002163484
18,tensorflow/playground,0.022665947,0.070422535,inf,0.186184566,0.009174312
19,Chocobozzz/PeerTube,0.00456747,0.047160494,1589645.474,0.069768868,0.006628962
20,botpress/botpress,0.012887659,0.384059063,5538049.813,0.104506423,0.009978
21,benawad/dogehouse,0.014490687,0.236412236,430313.6295,0.071654734,0.004050546
22,facebook/flipper,0.013747831,0.163171355,3969398.674,0.093598246,0.011326491
23,react-page/react-page,0.009883007,0.50877193,3100735.59,0.062449917,0.000160265
24,cs01/gdbgui,0.050914551,inf,3838956.161,0.135681136,0.056374556
25,howtographql/howtographql,0.003149225,0.161885246,9547233.146,0.033430233,0.00750969
26,devhubapp/devhub,0.019503513,0.050704225,1473746.75,0.201592506,0.007569087
27,Raathigesh/majestic,0.01259239,0.159638554,5127325.444,0.078291815,0.023816042
28,microsoft/azuredatastudio,0.016801759,0.288485607,3074283.873,0.151740885,0.084090835
29,uw-labs/bloomrpc,0.009306515,0.083333333,5090845.72,0.092164515,0.013209246
30,sindresorhus/caprine,0.019934543,0.04379562,4491948.742,0.132401071,0.005653079
31,HospitalRun/hospitalrun-frontend,0.001935507,0.251101322,2669272.326,0.026841471,0.006938612
32,nteract/nteract,0.012632236,0.109923664,8168014.942,0.04416084,0.011150677
33,tensorflow/tensorboard,0.009921423,0.207365439,3388888.915,0.055050658,0.005108676
34,este/este,0.040520166,0.078947368,1605595.525,0.039954768,0.006596306
35,graphql-editor/graphql-editor,0.0019995,0.318611987,3958739.61,0.01896748,0.000610958
36,taniarascia/takenote,0.007160227,0.180981595,513620.8767,0.052553364,0.003377466
37,clintonwoo/hackernews-react-graphql,0.00382875,0.157894737,inf,0.039505743,0.002088409
38,johannesjo/super-productivity,0.013813614,0.249695196,2712809.447,0.081199006,0.016924612
39,alexjlockwood/ShapeShifter,0.023042394,0.236282748,2449903.647,0.151770574,0.007830424
