index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc
1,actualbudget/actual,0.027957616,0.222222222,4206102.257,0.176056811,1248,7859,44639
2,Reamd7/notion-zh_CN,0.002838221,0.075757576,inf,0.012204352,30,129,10570
3,pot-app/pot-desktop,0.026864657,0.489361702,331626.2706,0.212990252,237,1879,8822
4,nolanlawson/fuite,0.150623441,0.882352941,3054334.25,0.220947631,906,1329,6015
5,dragonir/3d,0.087968305,0.036585366,inf,0.153704131,2287,3996,25998
6,kkoomen/pointless,0.005354331,0.176470588,inf,0.114015748,17,362,3175
7,chetannada/Namaste-React,0.009172909,0.12,inf,0.01758141,60,115,6541
8,VideoTogether/VideoTogether,0.020919769,0.294871795,inf,0.346624279,1553,25732,74236
9,adrianhajdin/project_music_player,0.002727273,0.288888889,inf,0.058181818,3,64,1100
10,lyfe00011/whatsapp-bot-md,0.013815335,0.723404255,561013.8077,0.189960857,60,825,4343
11,duiqt/herta_kuru,0.037094281,0.220779221,inf,0.115919629,24,75,647
12,avinash201199/Competitions-and-Programs-List,0.003270646,0.054054054,1423332.083,0.012264922,4,15,1223
13,illustrated-machine-learning/illustrated-machine-learning.github.io,0.003573981,0.155555556,inf,0.020729092,5,29,1399
14,keldenl/gpt-llama.cpp,0.041404612,0.273972603,238096.5,0.159853249,79,305,1908
15,EyuCoder/chatgpt-clone,0.006451613,0.092307692,817416.4444,0.067741935,4,42,620
16,gamer-ai/eletypes-frontend,0.011003071,0.260273973,inf,0.081883316,43,320,3908
17,cocktailpeanut/breadboard,0.046783626,0.310810811,924615.1429,0.222222222,8,38,171
18,revenz/Fenrus,0.036097109,0.274193548,3616268.333,0.272003013,1246,9389,34518
19,mafiosnik777/enhancr,0.130248092,0.356164384,46489,0.260138359,1092,2181,8384
20,jvdutrag/open-source-rpg,0.003474416,0.023809524,inf,0.046746684,11,148,3166
21,idurar/starter-antd-admin-crud-auth-mern,0.015444734,0.176470588,inf,0.05433569,83,292,5374
22,titaniumnetwork-dev/Ultraviolet,0.008383874,0.215686275,1440384.526,0.172136996,47,965,5606
23,benbrown/shuttlecraft,0.018014956,0.295081967,484808.25,0.199864038,53,588,2942
24,lucahammer/fedifinder,0.047523762,0.275362319,519794.6667,0.24162081,95,483,1999
25,badlogic/heissepreise,0.027956004,0.146666667,226063.0714,0.254048274,183,1663,6546
26,iprodanovbg/homeassistant-desktop,0.008810573,0.450980392,1844797.714,0.232011747,6,158,681
27,dynamicweb/swiffy-slider,0.030864198,0.176470588,352318.05,0.274691358,10,89,324
28,tenpages/us-level,0.004039238,0.24137931,inf,0.042700519,7,74,1733
29,OpenAsar/arrpc,0.035608309,0.090909091,170709.8,0.286350148,24,193,674
30,wenhaomin/ChatGPT-PromptGenius,0.066657622,0.128571429,inf,1.480350925,1474,32735,22113
31,easonwong-de/Adaptive-Tab-Bar-Colour,0.051439069,0.029850746,3537782.294,0.276178812,84,451,1633
32,chartello/chartello,0,0.027027027,inf,0.019313305,0,18,932
33,arduino/lab-micropython-editor,0.094150902,0.188235294,1090469.1,0.347684279,433,1599,4599
34,rstudio/shinyuieditor,0.018518519,0.230769231,2345780.727,0.046296296,2,5,108
35,dataplane-app/dataplane,0.007576279,0.196721311,848044.9167,0.091741855,220,2664,29038
36,ericdiviney/react-handbook,0.001962923,0.138888889,inf,0.027044711,9,124,4585
37,artgenexyz/webflow-nft-components,0.01531589,0.526315789,966473.1111,0.139119336,24,218,1567
38,Tairraos/TikDown,0.013221154,0.102040816,inf,0.09375,11,78,832
39,Clueless-Community/first-contribution,0.001414427,0.043478261,41716.69231,0.00404122,7,20,4949
40,zach-hopkins/create-t3svelte-app,0.036247335,0.193548387,147122.3333,0.168443497,17,79,469
41,OSSPhilippines/philippines-travel-level-map,0.005340454,0.333333333,inf,0.010680908,8,16,1498
42,LunarVim/lunarvim.org,0.009379509,0.258064516,2190267.25,0.038961039,13,54,1386
43,foyzulkarim/mern-video-streaming,0.00670466,0.039215686,inf,0.037546095,40,224,5966
44,Shopify/shopify-app-examples,0.007604563,0.172839506,inf,0.065272497,12,103,1578
45,amupedia2021/Project-Amupedia,0.011241146,0.089285714,1277088.093,0.025562057,73,166,6494
46,socketsupply/create-socket-app,0.009090909,0.2,1700501.111,0.134848485,6,89,660
47,bytemakers/Noteslify,0.030421982,0.206349206,765009.5227,0.04828263,155,246,5095
48,R2Northstar/NorthstarMasterServer,0.023338407,0.355263158,inf,0.194824962,46,384,1971
49,tdjsnelling/sqtracker,0.010377032,0.329113924,1226469.6,0.098927707,120,1144,11564
50,fjwillemsen/NativeOverleaf,0.050029429,0.147540984,1110918.4,0.270158917,85,459,1699
51,immortalwrt/homeproxy,0.072072072,0.235294118,inf,0.230630631,200,640,2775
52,joshcawthorne/LunaDesk,0.026874358,0.076923077,inf,0.033892503,157,198,5842
53,MonalikaPatnaik/UMatter,0.021482485,0.231707317,306961.2244,0.024579059,111,127,5167
54,ckalgos/fut-trade-enhancer,0.005824112,0.490196078,3319250.464,0.114298195,40,785,6868
55,Project-And-Factory/BlurLyric,0.020582493,0.104477612,1072500,0.107630979,253,1323,12292
56,acikyazilimagi/deprem-io-backend,0.020182292,0.5,27083.7,0.1328125,31,204,1536
57,alphabit-technology/erpnext-restaurant,0.010764459,0.046875,inf,0.175697865,59,963,5481
58,Kanika637/amazon-clone,0.022771318,0.052631579,614936.5,0.022286822,47,46,2064
59,Meta3D-Technology/Meta3D,0.136837397,0.375,inf,0.165138299,9177,11075,67065
60,Akshima-Ghai/OneEducationalWebsiteForAll,0.006671268,0.029411765,416701.7,0.045088567,29,196,4347
61,Daksh777/TakeABreak,0.153010859,0.035714286,925189.3182,0.310957552,155,315,1013
62,harshmangalam/hydrogen-solidjs-client,0.007462687,0.292134831,329459.125,0.014684641,62,122,8308
63,small-tech/nodekit,0.045508274,0.168831169,inf,0.115543735,154,391,3384
64,neesjanvaneck/VOSviewer-Online,0.004576256,0.375,1588864.308,0.148728329,52,1690,11363
65,GregVido/mica-electron,0.002493766,0.53125,1571285.143,0.139650873,1,56,401
66,Stoccoin-Official/Stoccoin-Website,0.004424779,0.23880597,2220872.789,0.027433628,10,62,2260
67,dappnetbby/dappnet,0.087495919,0.129032258,3160214,0.122755468,268,376,3063
68,UBA-GCOEN/StichHub,0.029020304,0.118644068,263456.75,0.034709536,556,665,19159
69,davunt/app-eraser,0.015363128,0.095238095,inf,0.060055866,11,43,716
70,sudojia/scripts,0.002739726,0.01754386,inf,0.268493151,1,98,365
71,shi-yan/Epiphany,0.04257149,0.273972603,inf,0.232423135,198,1081,4651
72,OrbisWeb3/orbis-sdk,0.03976765,0.117647059,inf,0.179624665,89,402,2238
73,StreamAble-Team/StreamAble-app,0.023952096,0.275862069,40278.8,0.030425635,296,376,12358
74,rohansx/informatician,0.00930874,0.313253012,116161.8345,0.026202379,54,152,5801
75,quiqr/quiqr-desktop,0.018907774,0.220338983,9295659.556,0.11696671,376,2326,19886
76,TeamAOF/All-of-Fabric-6,0.000262261,0.145833333,915396.8596,0.002622607,2,20,7626
77,llopisdon/skies-adsb,0.006756757,0.179104478,inf,0.141891892,9,189,1332
78,lmachens/skeleton,0.004106776,0.11627907,inf,0.146817248,4,143,974
79,gabrysia694/Gym-Junkies,0.005847953,0.242424242,126419.5625,0.026315789,6,27,1026
80,usmansbk/pomofocus,0,0.023529412,inf,0.038194444,0,44,1152
81,ZigZagExchange/frontend,0.010080925,0.425531915,425434.7917,0.106450867,218,2302,21625
82,Persian-Caesar/Ticker-Boy,0.047870183,0.044117647,inf,0.2831643,118,698,2465
83,jessejanderson/skylink,0.010989011,0.142857143,inf,0.379120879,2,69,182
84,CTF-Cafe/CTF_Cafe_platform,0.020773931,0.072289157,1917518.636,0.141507128,255,1737,12275
85,GamerKingFaiz/shouldiplay,0.004076087,0.117647059,inf,0.054347826,3,40,736
86,ianb/llm-garden,0.01083165,0.136842105,inf,0.146869837,177,2400,16341
87,leomcelroy/svg-pcb,0.073570185,0.105263158,1608153.8,0.297504675,2282,9228,31018
88,seths10/Quotes-Generator,0.000433463,0.045454545,inf,0.000577951,3,4,6921
89,cyboholics/portfolioshop,0.012345679,0.096774194,3986195.571,0.026977595,54,118,4374
90,whitespider-dev/whitespider,0.066460403,0.035087719,inf,0.225253367,6702,22715,100842
91,leolee9086/cc-image-tag-new,0.056273402,0.052631579,411353.3333,0.819729049,4133,60205,73445
92,NovaAppsInc/fracital-proxy,0.148510737,0.027027027,4780457,0.706601955,8935,42512,60164
93,spandan114/Crowdfunding-DAPP,0.038812785,0.058823529,inf,0.052511416,51,69,1314
94,terwer/siyuan-plugin-publisher,0.002513534,0.24137931,898895.1818,0.068735499,26,711,10344
95,zoom/zoomapps-sample-js,0,0.132075472,inf,0.095057034,0,50,526
96,GrabBits/GrabBits_Website,0.013073252,0.355932203,215145.1935,0.040257315,63,194,4819
97,shohan-pherones/euphoria-ecommerce,0.002241147,0.095744681,inf,0.028686688,5,64,2231
98,developerforce/salesforce-slack-starter-kit,0.002502085,0.391304348,5746881,0.06088407,3,73,1199
