index,repo_name,code-smells_ncloc,bug-fix-commits_ratio,avg_bug-issue_time,cognitive-complexity_ncloc,code_smells,cognitive_complexity,ncloc
1,lensterxyz/lenster,,,,,210.0,2553.0,40476.0
2,immich-app/immich,,,,,412.0,2115.0,34338.0
3,Bin-Huang/chatbox,,,,,16.0,207.0,2822.0
4,FlowiseAI/Flowise,,,,,195.0,1577.0,14664.0
5,ixahmedxi/noodle,,,,,14.0,44.0,2323.0
6,apitable/apitable,,,,,,,
7,teaxyz/cli,,,,,20.0,175.0,655.0
8,yaklang/yakit,,,,,69.0,219.0,2988.0
9,e2b-dev/e2b,,,,,64.0,472.0,9514.0
10,lenstube-xyz/lenstube,,,,,378.0,1405.0,49056.0
11,futantan/OpenGpt,,,,,29.0,146.0,2603.0
12,bluesky-social/social-app,,,,,1747.0,3727.0,46790.0
13,Lissy93/web-check,,,,,14.0,80.0,1268.0
14,liou666/polyglot,,,,,29.0,148.0,2587.0
15,Mayandev/notion-avatar,,,,,11.0,36.0,1410.0
16,gmpetrov/databerry,,,,,100.0,112.0,3200.0
17,rainbow-me/rainbowkit,,,,,4.0,85.0,1902.0
18,cfortuner/promptable,,,,,255.0,264.0,4958.0
19,ballerine-io/ballerine,,,,,209.0,1355.0,40586.0
20,OneKeyHQ/app-monorepo,,,,,0.0,,
21,analogjs/analog,,,,,56.0,472.0,9051.0
22,running-elephant/datart,,,,,0.0,,
23,Mirrorful/mirrorful,,,,,87.0,713.0,17765.0
24,lcomplete/huntly,,,,,,,
25,expo/router,,,,,224.0,1708.0,19582.0
26,silverbulletmd/silverbullet,,,,,299.0,2322.0,16843.0
27,Privoce/vocechat-web,,,,,,,
28,chronark/highstorm,,,,,217.0,341.0,8764.0
29,figment-networks/learn-web3-dapp,,,,,350.0,1184.0,17151.0
30,cybersecsi/houdini,,,,,9.0,70.0,1181.0
31,kubero-dev/kubero,,,,,158.0,606.0,10325.0
32,opengs/uashield,,,,,21.0,204.0,3705.0
33,Shelf-nu/shelf.nu,,,,,53.0,666.0,14412.0
34,jeremyckahn/chitchatter,,,,,8.0,388.0,5877.0
35,vriteio/vrite,,,,,232.0,2407.0,28978.0
36,aeharding/voyager,,,,,88.0,1340.0,17506.0
37,KnowledgeCanvas/knowledge,,,,,155.0,1723.0,16876.0
38,getstation/desktop-app,,,,,992.0,2244.0,42175.0
39,upupming/new-grad-positions,,,,,2.0,78.0,2428.0
40,42atomys/stud42,,,,,53.0,382.0,9312.0
41,clerkinc/t3-turbo-and-clerk,,,,,9.0,17.0,563.0
42,remix-run/indie-stack,,,,,1.0,90.0,1356.0
43,deiucanta/chatpad,,,,,16.0,178.0,2512.0
44,stonith404/pingvin-share,,,,,44.0,466.0,11366.0
45,Kuingsmile/PicList,,,,,191.0,3447.0,26702.0
46,dyrector-io/dyrectorio,,,,,361.0,3454.0,49594.0
47,bamlab/flashlight,,,,,45.0,377.0,6850.0
48,skynexui/components,,,,,18.0,57.0,2370.0
49,juliusmarminge/acme-corp,,,,,56.0,242.0,8459.0
50,revoltchat/desktop,,,,,2.0,75.0,412.0
51,dust-tt/dust,,,,,481.0,5608.0,52492.0
52,leerob/on-demand-isr,,,,,3.0,7.0,514.0
53,OrJDev/create-jd-app,,,,,12.0,244.0,2450.0
54,vendetta-mod/Vendetta,,,,,41.0,307.0,2242.0
55,nocode-js/sequential-workflow-designer,,,,,30.0,528.0,7668.0
56,cosmograph-org/cosmos,,,,,2.0,27.0,753.0
57,langchain-ai/auto-evaluator,,,,,22.0,88.0,2193.0
58,Memmy-App/memmy,,,,,96.0,1058.0,22295.0
59,burhan-syed/troddit,,,,,784.0,4295.0,22671.0
60,divriots/jampack,,,,,33.0,371.0,2065.0
61,antvis/G6VP,,,,,212.0,1226.0,21171.0
62,hadmean/hadmean,,,,,123.0,1165.0,52332.0
63,mirror-xyz/degen,,,,,23.0,225.0,6829.0
64,FightingDesign/fighting-design,,,,,105.0,792.0,18211.0
65,diego3g/rsxp-2023,,,,,8.0,41.0,1349.0
66,mui/mui-toolpad,,,,,190.0,2347.0,25103.0
67,different-ai/embedbase,,,,,,,
68,wslyvh/nexth,,,,,13.0,131.0,1830.0
69,mdSilo/mdSilo-app,,,,,74.0,625.0,5263.0
70,nombersDev/casemove,,,,,191.0,1562.0,16419.0
71,adrianhajdin/project_nextjs13_flexibble,,,,,15.0,62.0,1551.0
72,benallfree/pockethost,,,,,126.0,574.0,6424.0
73,pingcap/ossinsight-lite,,,,,144.0,922.0,10520.0
74,mantou132/nesbox,,,,,172.0,1726.0,17684.0
75,remix-run/grunge-stack,,,,,0.0,77.0,1263.0
76,premAI-io/prem-app,,,,,69.0,185.0,6580.0
77,kiliman/remix-typedjson,,,,,10.0,86.0,685.0
78,liaoliao666/v2ex,,,,,33.0,450.0,7447.0
79,LedgerHQ/ledger-live,,,,,,,
80,gemworks/gem-farm,,,,,95.0,400.0,17204.0
81,jycouet/kitql,,,,,28.0,253.0,2044.0
82,mlomb/chat-analytics,,,,,42.0,228.0,1740.0
83,Dun-sin/Code-Magic,,,,,27.0,203.0,2546.0
84,pheralb/slug,,,,,16.0,64.0,1815.0
85,scale8/scale8-tag-manager-and-analytics,,,,,,,
86,denoland/showcase_chat,,,,,12.0,50.0,1191.0
87,AlexandroMtzG/remix-page-blocks,,,,,76.0,652.0,9024.0
88,priyankarpal/ProjectsHut,,,,,30.0,72.0,1675.0
89,MananTank/cybertype,,,,,8.0,144.0,1508.0
90,calcom/synclinear.com,,,,,35.0,775.0,4890.0
91,harlan-zw/nuxt-delay-hydration,,,,,13.0,106.0,904.0
92,FuelLabs/swayswap,,,,,52.0,398.0,10296.0
93,ionic-team/trapeze,,,,,,,
94,jbilcke/latent-browser,,,,,17.0,31.0,1396.0
95,nrwl/monorepo.tools,,,,,3.0,16.0,4590.0
96,noahflk/railtrack,,,,,12.0,242.0,4253.0
97,danloh/mdSilo-web,,,,,91.0,780.0,8903.0
98,skillrecordings/products,,,,,69.0,407.0,8977.0
99,FrontendMasters/remix-fundamentals,,,,,117.0,1751.0,26571.0
100,tastejs/angular-movies,,,,,29.0,183.0,5351.0
101,zerforschung/schnelltesttest.de,,,,,15.0,118.0,1381.0
