index,repo_name,ncloc,code_smells,any-type_count,cognitive_complexity,framework,bug_issues_count,bug-fix_commits_count,commits_count
1,lensterxyz/lenster,40476.0,210.0,,2553.0,,,,
2,immich-app/immich,34338.0,412.0,,2115.0,,,,
3,Bin-Huang/chatbox,2822.0,16.0,,207.0,,,,
4,FlowiseAI/Flowise,14664.0,195.0,,1577.0,,,,
5,ixahmedxi/noodle,2323.0,14.0,,44.0,,,,
6,apitable/apitable,,,,,,,,
7,teaxyz/cli,655.0,20.0,,175.0,,,,
8,yaklang/yakit,2988.0,69.0,,219.0,,,,
9,e2b-dev/e2b,9514.0,64.0,,472.0,,,,
10,lenstube-xyz/lenstube,49056.0,378.0,,1405.0,,,,
11,futantan/OpenGpt,2603.0,29.0,,146.0,,,,
12,bluesky-social/social-app,46790.0,1747.0,,3727.0,,,,
13,Lissy93/web-check,1268.0,14.0,,80.0,,,,
14,liou666/polyglot,2587.0,29.0,,148.0,,,,
15,Mayandev/notion-avatar,1410.0,11.0,,36.0,,,,
16,gmpetrov/databerry,3200.0,100.0,,112.0,,,,
17,rainbow-me/rainbowkit,1902.0,4.0,,85.0,,,,
18,cfortuner/promptable,4958.0,255.0,,264.0,,,,
19,ballerine-io/ballerine,40586.0,209.0,,1355.0,,,,
20,OneKeyHQ/app-monorepo,,0.0,,,,,,
21,analogjs/analog,9051.0,56.0,,472.0,,,,
22,running-elephant/datart,,0.0,,,,,,
23,Mirrorful/mirrorful,17765.0,87.0,,713.0,,,,
24,lcomplete/huntly,,,,,,,,
25,expo/router,19582.0,224.0,,1708.0,,,,
26,silverbulletmd/silverbullet,16843.0,299.0,,2322.0,,,,
27,Privoce/vocechat-web,,,,,,,,
28,chronark/highstorm,8764.0,217.0,,341.0,,,,
29,figment-networks/learn-web3-dapp,17151.0,350.0,,1184.0,,,,
30,cybersecsi/houdini,1181.0,9.0,,70.0,,,,
31,kubero-dev/kubero,10325.0,158.0,,606.0,,,,
32,opengs/uashield,3705.0,21.0,,204.0,,,,
33,Shelf-nu/shelf.nu,14412.0,53.0,,666.0,,,,
34,jeremyckahn/chitchatter,5877.0,8.0,,388.0,,,,
